,Height,Alpha,Beta
154,1155.0,-0.069638393593914,-3.4819196796956997
155,1162.5,-0.05133878515659375,-2.5669392578296875
156,1170.0,-0.05966061098589757,-2.9830305492948783
157,1177.5,-0.08971761237188114,-4.485880618594057
158,1185.0,-0.1305082205408257,-6.525411027041285
159,1192.5,-0.14401538662340732,-7.200769331170366
160,1200.0,-0.09294298190934619,-4.647149095467309
161,1207.5,-0.07767753209007368,-3.883876604503684
162,1215.0,-0.07334998577645023,-3.6674992888225115
163,1222.5,-0.06414612340837655,-3.2073061704188275
164,1230.0,-0.08755227529434578,-4.377613764717289
165,1237.5,-0.1354876428048484,-6.7743821402424205
166,1245.0,-0.16772707065473305,-8.386353532736653
167,1252.5,-0.18826526318152878,-9.41326315907644
168,1260.0,-0.18005513026716988,-9.002756513358493
169,1267.5,-0.18694647320535338,-9.34732366026767
170,1275.0,-0.18540846452639,-9.270423226319501
171,1282.5,-0.18501329316785478,-9.25066465839274
172,1290.0,-0.18843810425835542,-9.421905212917771
173,1297.5,-0.18556604148744324,-9.278302074372162
174,1305.0,-0.18476740696360877,-9.238370348180439
175,1312.5,-0.18631378401140927,-9.315689200570464
176,1320.0,-0.18957712804637306,-9.478856402318653
177,1327.5,-0.18558320701167455,-9.279160350583728
178,1335.0,-0.18891460642881186,-9.445730321440593
179,1342.5,-0.1920912898910588,-9.60456449455294
180,1350.0,-0.19002597800551382,-9.50129890027569
181,1357.5,-0.1917967854743017,-9.589839273715086
182,1365.0,-0.1921918932090035,-9.609594660450176
183,1372.5,-0.19141985376412812,-9.570992688206406
184,1380.0,-0.1943712959011822,-9.71856479505911
185,1387.5,-0.1939366556196025,-9.696832780980124
186,1395.0,-0.19613686248825335,-9.806843124412667
187,1402.5,-0.1927287717835726,-9.63643858917863
188,1410.0,-0.1927612779842608,-9.638063899213039
189,1417.5,-0.19701288619752688,-9.850644309876344
190,1425.0,-0.19572372191459214,-9.786186095729606
191,1432.5,-0.19588104643414,-9.794052321707
192,1440.0,-0.1992053652469265,-9.960268262346325
193,1447.5,-0.1957956841334906,-9.78978420667453
194,1455.0,-0.19614953376486072,-9.807476688243035
195,1462.5,-0.1951701452686861,-9.758507263434305
196,1470.0,-0.1985030946134556,-9.92515473067278
197,1477.5,-0.20056182505345205,-10.028091252672603
198,1485.0,-0.19961108435145922,-9.98055421757296
199,1492.5,-0.19881624262754038,-9.940812131377019
200,1500.0,-0.19709409445971027,-9.854704722985513
201,1507.5,-0.1990881296334426,-9.95440648167213
202,1515.0,-0.1993095342402842,-9.96547671201421
203,1522.5,-0.20285602390424873,-10.142801195212437
204,1530.0,-0.20029850158373994,-10.014925079186996
205,1537.5,-0.20118742719100619,-10.05937135955031
206,1545.0,-0.2034374157955432,-10.17187078977716
207,1552.5,-0.20240669641011652,-10.120334820505827
208,1560.0,-0.20366129260763252,-10.183064630381626
209,1567.5,-0.20231050230624384,-10.115525115312192
210,1575.0,-0.20281506668330557,-10.140753334165279
211,1582.5,-0.20289133161391573,-10.144566580695786
212,1590.0,-0.20425586109314386,-10.212793054657194
213,1597.5,-0.20058684030370796,-10.029342015185398
214,1605.0,-0.20140333892036918,-10.070166946018459
215,1612.5,-0.2028823236419739,-10.144116182098696
216,1620.0,-0.20935253662639883,-10.467626831319942
217,1627.5,-0.20604687670103872,-10.302343835051936
218,1635.0,-0.2058942993935263,-10.294714969676315
219,1642.5,-0.20413818884588844,-10.206909442294423
220,1650.0,-0.20783138315597177,-10.391569157798589
221,1657.5,-0.2075798840007425,-10.378994200037125
222,1665.0,-0.20556702095485382,-10.27835104774269
223,1672.5,-0.20781270634006266,-10.390635317003133
224,1680.0,-0.21125307201146826,-10.562653600573412
225,1687.5,-0.20925350422067635,-10.462675211033817
226,1695.0,-0.20817552277315446,-10.408776138657723
227,1702.5,-0.20971759801962125,-10.485879900981063
228,1710.0,-0.2117285010546463,-10.586425052732315
229,1717.5,-0.21347625400363912,-10.673812700181957
230,1725.0,-0.21494041297272307,-10.747020648636154
231,1732.5,-0.21416726035448114,-10.708363017724057
232,1740.0,-0.21052047356583556,-10.526023678291779
233,1747.5,-0.21160881051557373,-10.580440525778686
234,1755.0,-0.21204200077794863,-10.602100038897431
235,1762.5,-0.21557163634446785,-10.778581817223392
236,1770.0,-0.21227947823836432,-10.613973911918215
237,1777.5,-0.21521359312072016,-10.760679656036007
238,1785.0,-0.21593602129301465,-10.796801064650733
239,1792.5,-0.2121175677172982,-10.60587838586491
240,1800.0,-0.21448780184115335,-10.724390092057668
241,1807.5,-0.2148689308875292,-10.74344654437646
242,1815.0,-0.21552859915360592,-10.776429957680296
243,1822.5,-0.21642728370221764,-10.821364185110882
244,1830.0,-0.21391417102576551,-10.695708551288275
245,1837.5,-0.21160155135699868,-10.580077567849933
246,1845.0,-0.2146886303508053,-10.734431517540264
247,1852.5,-0.21426145303597804,-10.713072651798901
248,1860.0,-0.21489782924825743,-10.744891462412872
249,1867.5,-0.21244231646440143,-10.62211582322007
250,1875.0,-0.21514110370453252,-10.757055185226626
251,1882.5,-0.2153993474177359,-10.769967370886794
252,1890.0,-0.21603491646942613,-10.801745823471306
253,1897.5,-0.21435595346455488,-10.717797673227745
254,1905.0,-0.21697713516274758,-10.848856758137378
255,1912.5,-0.2178136204276703,-10.890681021383514
256,1920.0,-0.21613204566984875,-10.806602283492438
257,1927.5,-0.22101693952455748,-11.050846976227874
258,1935.0,-0.21847143910957995,-10.923571955478998
259,1942.5,-0.21996646251149501,-10.998323125574752
260,1950.0,-0.2183207985434546,-10.91603992717273
261,1957.5,-0.21468369380879607,-10.734184690439804
262,1965.0,-0.2209689751793257,-11.048448758966286
263,1972.5,-0.2190382221487889,-10.951911107439445
264,1980.0,-0.21822526509481135,-10.911263254740568
265,1987.5,-0.21960771759594758,-10.980385879797378
266,1995.0,-0.21908235214665522,-10.954117607332762
267,2002.5,-0.22145485305149917,-11.07274265257496
268,2010.0,-0.22024638550557438,-11.012319275278719
269,2017.5,-0.2232339566701747,-11.161697833508736
270,2025.0,-0.21881016964312425,-10.940508482156213
271,2032.5,-0.22180229062877593,-11.090114531438797
272,2040.0,-0.2231347298417485,-11.156736492087425
273,2047.5,-0.21838149643093038,-10.91907482154652
274,2055.0,-0.21934921783121542,-10.967460891560771
275,2062.5,-0.21752520520841184,-10.876260260420592
276,2070.0,-0.22484384007501362,-11.24219200375068
277,2077.5,-0.22079207163079168,-11.039603581539584
278,2085.0,-0.22141583785755115,-11.070791892877557
279,2092.5,-0.2234883683510406,-11.17441841755203
280,2100.0,-0.21956609214531853,-10.978304607265926
281,2107.5,-0.22363327308774925,-11.181663654387462
282,2115.0,-0.2232407521988624,-11.16203760994312
283,2122.5,-0.22316986770286265,-11.158493385143133
284,2130.0,-0.22418644017292735,-11.209322008646367
285,2137.5,-0.22729332814602965,-11.364666407301483
286,2145.0,-0.2267071206993616,-11.33535603496808
287,2152.5,-0.22606325395536317,-11.303162697768158
288,2160.0,-0.22304109971482708,-11.152054985741353
289,2167.5,-0.22427272715307314,-11.213636357653657
290,2175.0,-0.22913430319203457,-11.456715159601728
291,2182.5,-0.22542970430473686,-11.271485215236844
292,2190.0,-0.2239903501316959,-11.199517506584796
293,2197.5,-0.22289364413113977,-11.144682206556988
294,2205.0,-0.2273609114622634,-11.36804557311317
295,2212.5,-0.22463287356547193,-11.231643678273597
296,2220.0,-0.22767429149996382,-11.38371457499819
297,2227.5,-0.22675344737850991,-11.337672368925496
298,2235.0,-0.22710476380539896,-11.355238190269947
299,2242.5,-0.22904633534654648,-11.452316767327323
300,2250.0,-0.22389074505153292,-11.194537252576646
301,2257.5,-0.22496122634487614,-11.248061317243806
302,2265.0,-0.22715283322822657,-11.357641661411328
303,2272.5,-0.22644141955459268,-11.322070977729634
304,2280.0,-0.2271318729894483,-11.356593649472416
305,2287.5,-0.22729448065719662,-11.364724032859831
306,2295.0,-0.22906913771236517,-11.453456885618259
307,2302.5,-0.2273177493324016,-11.36588746662008
308,2310.0,-0.22771294662447955,-11.385647331223977
309,2317.5,-0.22456751093409213,-11.228375546704607
310,2325.0,-0.2223500649946796,-11.11750324973398
311,2332.5,-0.226025679302523,-11.301283965126151
312,2340.0,-0.22676400098667301,-11.33820004933365
313,2347.5,-0.22853789801719276,-11.426894900859638
314,2355.0,-0.22502634687306275,-11.251317343653138
315,2362.5,-0.2300042988833319,-11.500214944166595
316,2370.0,-0.2264259317893816,-11.32129658946908
317,2377.5,-0.22838364764246835,-11.419182382123418
318,2385.0,-0.22778731054506335,-11.389365527253167
319,2392.5,-0.22737211848540723,-11.368605924270362
320,2400.0,-0.22538255619360964,-11.269127809680482
321,2407.5,-0.22732735370821625,-11.366367685410813
322,2415.0,-0.2282573517903562,-11.412867589517809
323,2422.5,-0.2297631522836561,-11.488157614182805
324,2430.0,-0.22770570715585597,-11.3852853577928
325,2437.5,-0.22476567167789693,-11.238283583894846
326,2445.0,-0.22689533702821088,-11.344766851410544
327,2452.5,-0.22732206547523393,-11.366103273761697
328,2460.0,-0.2281892177979565,-11.409460889897826
329,2467.5,-0.2248327528955723,-11.241637644778615
330,2475.0,-0.22842209820929252,-11.421104910464626
331,2482.5,-0.2332059237093857,-11.660296185469285
332,2490.0,-0.22814067311765135,-11.407033655882568
333,2497.5,-0.22468214823097946,-11.234107411548973
334,2505.0,-0.22721496367763133,-11.360748183881567
335,2512.5,-0.2246242646837679,-11.231213234188395
336,2520.0,-0.2274825358469885,-11.374126792349424
337,2527.5,-0.22574517591995077,-11.28725879599754
338,2535.0,-0.2259636089304913,-11.298180446524565
339,2542.5,-0.22952891589726074,-11.476445794863038
340,2550.0,-0.226017664795425,-11.30088323977125
341,2557.5,-0.22648851399184733,-11.324425699592366
342,2565.0,-0.2276720807447806,-11.38360403723903
343,2572.5,-0.22815289800986413,-11.407644900493207
344,2580.0,-0.22668336562173658,-11.334168281086829
345,2587.5,-0.23045265345260854,-11.522632672630428
346,2595.0,-0.22517192153138157,-11.258596076569079
347,2602.5,-0.22640916793782945,-11.320458396891473
348,2610.0,-0.2325718210661852,-11.628591053309261
349,2617.5,-0.22974279619781193,-11.487139809890596
350,2625.0,-0.2340853074772629,-11.704265373863144
351,2632.5,-0.2329967267872279,-11.649836339361395
352,2640.0,-0.23281139366660053,-11.640569683330027
353,2647.5,-0.2291948651262285,-11.459743256311425
354,2655.0,-0.22859606112086897,-11.429803056043449
355,2662.5,-0.22699122585473036,-11.349561292736517
356,2670.0,-0.2265241238010961,-11.326206190054805
357,2677.5,-0.2288127529710681,-11.440637648553405
358,2685.0,-0.23185645361129129,-11.592822680564565
359,2692.5,-0.23123380434803567,-11.561690217401784
360,2700.0,-0.23457753628788713,-11.728876814394356
361,2707.5,-0.23394065328884125,-11.697032664442062
362,2715.0,-0.2307498221308006,-11.537491106540031
363,2722.5,-0.2325190640639621,-11.625953203198106
364,2730.0,-0.231806419660466,-11.5903209830233
365,2737.5,-0.23059716021378374,-11.529858010689187
366,2745.0,-0.22404488589917854,-11.202244294958927
367,2752.5,-0.22812085493473447,-11.406042746736723
368,2760.0,-0.22943583737697046,-11.471791868848523
369,2767.5,-0.2322819828805061,-11.614099144025305
370,2775.0,-0.2314763723833681,-11.573818619168405
371,2782.5,-0.23211532590191394,-11.605766295095696
372,2790.0,-0.231737977388777,-11.58689886943885
373,2797.5,-0.23318774100530854,-11.659387050265426
374,2805.0,-0.23003552984916523,-11.501776492458262
375,2812.5,-0.22582184843905806,-11.291092421952904
376,2820.0,-0.23203131024815113,-11.601565512407557
377,2827.5,-0.2321573016201399,-11.607865081006995
378,2835.0,-0.2276940670746614,-11.38470335373307
379,2842.5,-0.23285487699978583,-11.64274384998929
380,2850.0,-0.23089707531020698,-11.544853765510348
381,2857.5,-0.22939531753791711,-11.469765876895856
382,2865.0,-0.23414010238582125,-11.707005119291063
383,2872.5,-0.2321448418587238,-11.60724209293619
384,2880.0,-0.22608121097036715,-11.304060548518358
385,2887.5,-0.23005522118604932,-11.502761059302467
386,2895.0,-0.22040414094691718,-11.02020704734586
387,2902.5,-0.22151998205861062,-11.075999102930531
388,2910.0,-0.2248628236962618,-11.243141184813089
389,2917.5,-0.23292196150165806,-11.646098075082904
390,2925.0,-0.22641911955531302,-11.320955977765651
391,2932.5,-0.2319171821713503,-11.595859108567515
392,2940.0,-0.22996346780924082,-11.498173390462041
393,2947.5,-0.2219589022052887,-11.097945110264435
394,2955.0,-0.23001158431410842,-11.500579215705422
395,2962.5,-0.22896759449809095,-11.448379724904548
396,2970.0,-0.2281512952540871,-11.407564762704354
397,2977.5,-0.22862127202887447,-11.431063601443723
398,2985.0,-0.22840697581007627,-11.420348790503814
399,2992.5,-0.23042181317152963,-11.521090658576481
400,3000.0,-0.2285844980603378,-11.42922490301689
401,3007.5,-0.22729328548461283,-11.364664274230641
402,3015.0,-0.2297682318444044,-11.48841159222022
403,3022.5,-0.23032833763118757,-11.516416881559378
404,3030.0,-0.23010509314490374,-11.505254657245187
405,3037.5,-0.2309853720618117,-11.549268603090585
406,3045.0,-0.2309181496302316,-11.54590748151158
407,3052.5,-0.22793325753968094,-11.396662876984047
408,3060.0,-0.22591663313010601,-11.295831656505301
409,3067.5,-0.22919464868365255,-11.459732434182628
410,3075.0,-0.22567095132384532,-11.283547566192267
411,3082.5,-0.22793030684948265,-11.396515342474132
412,3090.0,-0.22745294559503004,-11.372647279751503
413,3097.5,-0.22697336912993502,-11.348668456496751
414,3105.0,-0.23040666910685156,-11.520333455342579
415,3112.5,-0.2304886218076958,-11.524431090384791
416,3120.0,-0.22862453760045431,-11.431226880022717
417,3127.5,-0.23139035007231673,-11.569517503615836
418,3135.0,-0.23255236481852432,-11.627618240926216
419,3142.5,-0.22851993010208782,-11.425996505104392
420,3150.0,-0.22632986004882602,-11.316493002441302
421,3157.5,-0.2332315273302487,-11.661576366512435
422,3165.0,-0.22613263440833786,-11.306631720416894
423,3172.5,-0.2261124903384558,-11.305624516922789
424,3180.0,-0.22376385235769966,-11.188192617884983
425,3187.5,-0.2217537912221131,-11.087689561105655
426,3195.0,-0.2286754159131784,-11.43377079565892
427,3202.5,-0.23160150736145035,-11.580075368072517
428,3210.0,-0.22542416643777968,-11.271208321888984
429,3217.5,-0.2218437463810211,-11.092187319051055
430,3225.0,-0.2231702785346946,-11.158513926734729
431,3232.5,-0.22841324935466703,-11.42066246773335
432,3240.0,-0.23214982654797278,-11.60749132739864
433,3247.5,-0.22395663100226879,-11.19783155011344
434,3255.0,-0.2262394603537152,-11.31197301768576
435,3262.5,-0.22520649151885963,-11.260324575942981
436,3270.0,-0.22285477875336862,-11.142738937668431
437,3277.5,-0.22775216462769154,-11.387608231384577
438,3285.0,-0.21998973514139242,-10.99948675706962
439,3292.5,-0.22239302891034468,-11.119651445517235
440,3300.0,-0.22176798126002734,-11.088399063001367
441,3307.5,-0.2218014505387335,-11.090072526936675
442,3315.0,-0.22596101946656666,-11.298050973328333
443,3322.5,-0.22228403303621352,-11.114201651810676
444,3330.0,-0.22307382966932704,-11.153691483466352
445,3337.5,-0.223617488469062,-11.1808744234531
446,3345.0,-0.22272083462927472,-11.136041731463736
447,3352.5,-0.22157068743345518,-11.07853437167276
448,3360.0,-0.22623313529258904,-11.311656764629452
449,3367.5,-0.2198588658577519,-10.992943292887595
450,3375.0,-0.21195112435277155,-10.597556217638578
451,3382.5,-0.2231404134176487,-11.157020670882435
452,3390.0,-0.22773759820248501,-11.38687991012425
453,3397.5,-0.2222525736867089,-11.112628684335444
454,3405.0,-0.22236685520179802,-11.1183427600899
455,3412.5,-0.22213432556284055,-11.106716278142027
456,3420.0,-0.22470358754494987,-11.235179377247494
457,3427.5,-0.22218664866896357,-11.109332433448179
458,3435.0,-0.2197816554322132,-10.98908277161066
459,3442.5,-0.21629834875458126,-10.814917437729063
460,3450.0,-0.22376723304685547,-11.188361652342774
461,3457.5,-0.21991871358146994,-10.995935679073497
462,3465.0,-0.22089811785955385,-11.044905892977692
463,3472.5,-0.22394393567008888,-11.197196783504443
464,3480.0,-0.2194396904540304,-10.97198452270152
465,3487.5,-0.2279439532160305,-11.397197660801526
466,3495.0,-0.22807803473350702,-11.403901736675351
467,3502.5,-0.22296614288183664,-11.148307144091833
468,3510.0,-0.21737604657663132,-10.868802328831565
469,3517.5,-0.22466074291537072,-11.233037145768536
470,3525.0,-0.22786175303483197,-11.393087651741599
471,3532.5,-0.22471674058515914,-11.235837029257958
472,3540.0,-0.21783660604005803,-10.891830302002901
473,3547.5,-0.2217238593043612,-11.08619296521806
474,3555.0,-0.21946415798689095,-10.973207899344548
475,3562.5,-0.2147401584358473,-10.737007921792365
476,3570.0,-0.22335127392811568,-11.167563696405784
477,3577.5,-0.22178941172459857,-11.089470586229929
478,3585.0,-0.21418789976370323,-10.709394988185162
479,3592.5,-0.21786164462443033,-10.893082231221516
480,3600.0,-0.21795501761242808,-10.897750880621404
481,3607.5,-0.22335852686828936,-11.167926343414468
482,3615.0,-0.21750040696875694,-10.875020348437847
483,3622.5,-0.22168927027090995,-11.084463513545497
484,3630.0,-0.218516934792434,-10.9258467396217
485,3637.5,-0.21796221818334766,-10.898110909167382
486,3645.0,-0.21908278778412488,-10.954139389206244
487,3652.5,-0.2226984150649325,-11.134920753246625
488,3660.0,-0.2128054729198116,-10.64027364599058
489,3667.5,-0.211791933267984,-10.5895966633992
490,3675.0,-0.21331956205023853,-10.665978102511927
491,3682.5,-0.21871819657180214,-10.935909828590107
492,3690.0,-0.2219912085275036,-11.099560426375179
493,3697.5,-0.2197746346834831,-10.988731734174156
494,3705.0,-0.2142770280428671,-10.713851402143355
495,3712.5,-0.21529543233702772,-10.764771616851386
496,3720.0,-0.21312699377327118,-10.656349688663559
497,3727.5,-0.215557830508205,-10.77789152541025
498,3735.0,-0.21871978585639337,-10.935989292819668
499,3742.5,-0.22137013584107976,-11.068506792053988
500,3750.0,-0.21764669000978049,-10.882334500489025
501,3757.5,-0.21512995766938703,-10.75649788346935
502,3765.0,-0.2169547283591235,-10.847736417956174
503,3772.5,-0.2164602407895536,-10.82301203947768
504,3780.0,-0.2153811661396815,-10.769058306984075
505,3787.5,-0.22040487796398125,-11.020243898199062
506,3795.0,-0.21910506485493605,-10.955253242746803
507,3802.5,-0.2150488794974849,-10.752443974874245
508,3810.0,-0.2211230177972874,-11.056150889864371
509,3817.5,-0.21492158530925015,-10.746079265462507
510,3825.0,-0.20833736216711607,-10.416868108355803
511,3832.5,-0.21263284287031126,-10.631642143515563
512,3840.0,-0.21300193490203476,-10.650096745101738
513,3847.5,-0.2115114884380248,-10.57557442190124
514,3855.0,-0.21276117136217415,-10.638058568108708
515,3862.5,-0.21254086200035385,-10.627043100017692
516,3870.0,-0.20763749960991584,-10.381874980495793
517,3877.5,-0.21249348875527468,-10.624674437763733
518,3885.0,-0.2192816856163584,-10.964084280817922
519,3892.5,-0.2118466072836107,-10.592330364180535
520,3900.0,-0.2125210810752746,-10.62605405376373
521,3907.5,-0.20861722129255303,-10.430861064627651
522,3915.0,-0.21026607559089505,-10.513303779544753
523,3922.5,-0.2121439928350197,-10.607199641750984
524,3930.0,-0.21405520275282094,-10.702760137641047
525,3937.5,-0.2110782571972921,-10.553912859864605
526,3945.0,-0.2140148111003036,-10.70074055501518
527,3952.5,-0.21524069028666956,-10.762034514333479
528,3960.0,-0.21037869110669075,-10.518934555334537
529,3967.5,-0.2045331317430909,-10.226656587154546
530,3975.0,-0.21529513232753184,-10.76475661637659
531,3982.5,-0.21740316786899028,-10.870158393449515
532,3990.0,-0.20912247501921033,-10.456123750960517
533,3997.5,-0.21292231383072643,-10.646115691536322
534,4005.0,-0.21321363460242,-10.660681730120999
535,4012.5,-0.21213664693908005,-10.606832346954002
536,4020.0,-0.21095480998754998,-10.547740499377499
537,4027.5,-0.203024156519805,-10.15120782599025
538,4035.0,-0.2091128744990795,-10.455643724953974
539,4042.5,-0.2041300896737452,-10.20650448368726
