630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630
637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5,637.5
645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645
652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5,652.5
660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660
667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5,667.5
675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675
682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5
690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690
697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5,697.5
705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705
712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5
720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720
727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5,727.5
735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735,735
742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5,742.5
750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5,757.5
765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5,772.5
