,00:02:05,00:03:06,00:04:07,00:05:07
7.5,697.0835670995442,697.078005447468,696.8389383338878,696.7000211934247
15.0,1.0640651060383957,1.067383813788105,1.0760192980464236,1.072673972514116
22.5,1.063902124129534,1.0678589763266948,1.0759817744764104,1.0744947353320153
30.0,1.0621954873905564,1.065344886152102,1.0731888963878686,1.0734518712699919
37.5,1.0637668550609447,1.06645528575437,1.0718575463972735,1.069088855351708
45.0,1.0668044231621954,1.0677302175608836,1.0785537304756245,1.0708204317795496
52.5,1.0456090069038129,1.0518752214772897,1.0626378683893123,1.055901018046204
60.0,0.8596157090627552,0.8965054902209167,0.906506846315718,0.8696487576662213
67.5,1.434516797354405,1.557298113210917,1.4075770250297561,1.3452108197357193
75.0,1.8249962404118052,1.905745566872069,1.6731036679525184,1.661122688965332
82.5,1.0171991959819173,1.0107745691769394,1.013462127738743,1.0247976213733694
90.0,1.0736788839306246,1.1123809683919257,1.0734767845656126,1.0597124544778267
97.5,0.9954688100339741,1.0191421596025416,1.006604888886051,0.9948136453893734
105.0,0.9743638795155666,1.01233231506465,0.9978268498414138,0.9659373222581945
112.5,1.0090507348849354,1.0387056442175477,1.0094015862318058,0.9918483646531865
120.0,0.9583907389761708,1.0000866792157472,0.9954433737118558,0.9684551684359421
127.5,0.9908431722226952,1.0238146017566054,1.005809583440573,0.9771339000025306
135.0,0.9760931147042636,1.0042637280234106,0.981432932938445,0.9655798958929854
142.5,0.9548741738953496,1.0048432763594723,0.9705287991252574,0.9514785419923354
150.0,0.8986872125011007,0.9794202936071534,0.9261358179573682,0.8834963441720686
157.5,0.846282852091572,0.9508448796910052,0.8701823463947174,0.8067169277881099
165.0,0.8115374917309817,0.939223565785961,0.8275256546275893,0.7494655049589227
172.5,0.8045839579082402,0.9025134133183238,0.801229892635114,0.7317569454947596
180.0,0.8016627503021807,0.9005919502862841,0.7949983068117573,0.7285579424407305
187.5,0.7855438127489889,0.8935194485895479,0.789915896797887,0.7247578697762883
195.0,0.785134071241658,0.8848537342777113,0.7790228806293787,0.7338923919610315
202.5,0.7926516327585099,0.8750070455554869,0.7839729691517803,0.727906354443365
210.0,0.7708849765730531,0.8631107096443297,0.7705445788479693,0.7212481098928095
217.5,0.7556352750791859,0.8437318545593697,0.756798513208632,0.725921145531769
225.0,0.7446710170586994,0.8361043828905886,0.745592060674931,0.7165385430496808
232.5,0.7420018496031963,0.8224113394798885,0.7408867196080654,0.7139558311005699
240.0,0.7609344507278404,0.8337483849836889,0.7473647319837312,0.7328181098280853
247.5,0.7696486576365251,0.8470934421386368,0.7592233527851914,0.7478273618214265
255.0,0.7719635620333549,0.8609457115316866,0.794482946659903,0.7635748343396357
262.5,0.7750530488023687,0.8634267754203293,0.7927351108720131,0.7650890866444682
