,00:02:05,00:03:06,00:04:07,00:05:07
7.5,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
22.5,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0
37.5,0.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0,0.0
52.5,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0
67.5,0.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0,0.0
82.5,0.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0,0.0
97.5,0.0,0.0,0.0,0.0
105.0,0.0,0.0,0.0,0.0
112.5,0.0,0.0,0.0,0.0
120.0,0.0,0.0,0.0,0.0
127.5,0.0,0.0,0.0,0.0
135.0,0.0,0.0,0.0,0.0
142.5,0.0,0.0,0.0,0.0
150.0,0.0,0.0,0.0,0.0
157.5,0.0,0.0,0.0,0.0
165.0,0.0,0.0,0.0,0.0
172.5,0.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0,0.0
187.5,0.0,0.0,0.0,0.0
195.0,0.0,0.0,0.0,0.00035897090600131446
202.5,0.0,0.0,0.0,0.0008103178804254002
210.0,0.0,0.0,0.0,0.0012691642504038395
217.5,0.0,0.0,0.0,0.0017323356728631135
225.0,0.0,0.0,0.0,0.002144517737879748
232.5,0.0,0.0,0.00010747921520839793,0.0024928780140980296
240.0,0.0,0.0,0.00020564037613662683,0.002787863400773859
247.5,0.0,0.0,0.0002774158017183968,0.002949037967811527
255.0,0.0,0.0,0.0003236430339954722,0.0030264661381574466
262.5,0.0,0.0,0.0002832173227095803,0.003065900327796487
270.0,0.0,0.0,0.00026513465597011545,0.0030537154986565876
277.5,0.0,0.0,0.0002624394626640006,0.00309256705247066
285.0,0.0,0.0,0.00022511599092803008,0.0030625518553806103
292.5,0.0,0.0,0.000234090468852856,0.003019873397751432
300.0,0.0,0.0,0.0002104740057539071,0.002983950460256405
307.5,0.0,0.0,0.0001490060388820646,0.0029050137999745143
315.0,0.0,0.0,8.772267988833133e-05,0.00289430859685635
322.5,0.0,0.0,6.516861395028817e-05,0.0028613929484228445
330.0,0.0,0.0,5.8202193992711905e-05,0.0028298987387549105
337.5,0.0,0.0,4.4989882313342666e-05,0.0029102724442708686
345.0,0.0,0.0,6.651591724880735e-05,0.002885597976447543
352.5,0.0,0.0,9.927142013367455e-05,0.0030098236978178157
360.0,0.0,0.0,0.00012764126358953253,0.003364214075470965
367.5,0.0,0.0,9.571211590098756e-05,0.003426847189772104
375.0,0.0,0.0,0.0001308932226586994,0.003262812514053025
382.5,0.0,0.0,0.0002253356676185439,0.003118123271817077
390.0,0.0,0.0,0.00026407332468322896,0.0035566584067298138
397.5,0.0,0.0,0.0002696466982703037,0.006409822910410009
405.0,0.0,0.0,0.0003646704360835964,0.010912358184037012
412.5,0.0,0.0,0.0009152672181185237,0.013202586042420148
420.0,0.0,0.0,0.001917369722180495,0.012982155529137715
427.5,0.0,0.0,0.002817399468290271,0.013229377525639262
435.0,0.0,0.0,0.0027199485246177375,0.012112708475502674
442.5,0.0,0.0,0.0029216380511823303,0.010697105505538538
450.0,0.0,0.0,0.0039437940667879446,0.010200158433037055
457.5,0.0,0.0,0.005379004189122544,0.008710792029512814
465.0,0.0,0.0,0.007385148866968061,0.008951660686159673
472.5,0.0,0.0,0.009561564404344337,0.008407337473180556
480.0,0.0,0.0,0.013063338864575193,0.007431302125504499
487.5,0.0,0.0,0.017658111905118012,0.009280350803591303
495.0,0.0,0.0,0.019096563235772395,0.010048417555599385
502.5,0.0,0.0,0.01875339075361155,0.011555401738815708
510.0,0.0,0.0,0.018428111226059113,0.013283121987342826
517.5,0.0,0.0,0.0170052621328151,0.018620778153771236
525.0,0.0,0.0,0.015758759020249195,0.02092683337839544
532.5,0.0,0.0,0.014784913317729572,0.024567780427794794
540.0,0.0,0.0,0.0139856782500524,0.028886168422645415
547.5,0.0,0.0,0.014720026237988383,0.03344415151904018
555.0,0.0,0.0,0.0170666722590132,0.03908785178063203
562.5,0.0,0.0,0.0172774028071483,0.040680789169664305
570.0,0.0,0.0,0.017839148534799624,0.0451392100957017
