,00:02:05,00:03:06,00:04:07,00:05:07
352.5,985181.89,1604544.01,905846.02,1300410.505
360.0,989218.2999999999,2057351.7249999999,895743.24,1326535.525
367.5,1005020.705,2493521.135,871803.52,1301848.135
375.0,1076981.48,3166441.365,864746.0700000001,1242859.315
382.5,1229719.67,3844889.435,870919.36,1190885.17
390.0,1502044.395,4214386.65,864600.085,1226723.01
397.5,1860899.045,4054829.185,851760.97,1594068.705
405.0,2095007.345,3672118.705,857067.88,2149574.215
412.5,2422440.04,3031273.165,947377.85,2373697.455
420.0,2883264.8200000003,2392937.98,1112632.615,2269300.13
427.5,3159034.215,1891514.775,1247668.755,2226339.715
435.0,3399333.98,1497533.0,1204471.825,2031430.785
442.5,3381986.685,1159793.53,1212431.145,1818466.9449999998
450.0,3361425.63,942401.4199999999,1347984.2999999998,1716703.94
457.5,3354335.81,744363.715,1535860.4449999998,1522112.72
465.0,3422401.705,603528.425,1792875.42,1508547.8399999999
472.5,3473268.1950000003,557372.26,2054039.82,1421832.095
480.0,3400764.735,541942.74,2473950.855,1301755.1600000001
487.5,3519860.6399999997,532141.0800000001,3001442.9,1435244.145
495.0,3656074.825,538202.355,3086766.435,1467556.0499999998
502.5,3586326.4749999996,549586.865,2946725.1950000003,1556499.545
510.0,3397738.735,584590.35,2817062.05,1655139.6400000001
517.5,3169255.455,659673.8300000001,2572249.905,2017068.8199999998
525.0,3136039.1550000003,771805.63,2363252.895,2128487.965
532.5,2897876.44,855349.2050000001,2196543.175,2321390.36
540.0,2531263.9699999997,919664.325,2058035.5,2540044.365
547.5,2191589.4,1003373.415,2077179.135,2750509.495
555.0,1888701.795,1011193.1799999999,2244721.815,3002696.795
562.5,1525423.605,913617.495,2204245.5949999997,2986635.38
570.0,1303564.2650000001,843747.96,2195670.5,3126226.5999999996
577.5,962658.62,803133.7949999999,1878820.755,3479100.135
585.0,710630.3,818144.0449999999,1560849.045,3540401.245
592.5,642081.0249999999,912161.875,1305911.625,3313858.415
600.0,644368.835,1066663.355,1107794.4849999999,3067725.89
607.5,609815.1699999999,1216282.1099999999,943973.905,2729440.195
615.0,565716.31,1110105.155,855843.85,2225592.185
622.5,568741.53,975084.06,802283.25,1882401.94
630.0,570373.98,773420.46,762512.79,1482478.16
637.5,604371.5449999999,636746.35,708369.8999999999,1181430.5899999999
645.0,666256.9550000001,644130.665,817487.24,985546.21
652.5,747079.13,638680.78,922512.1950000001,630317.2849999999
660.0,839019.175,581619.735,880026.125,616636.825
667.5,890084.48,514517.22,800742.925,592337.3049999999
675.0,848134.2949999999,509583.975,789925.97,579547.435
682.5,754645.065,505976.63,758197.115,556682.905
690.0,669535.44,502287.91000000003,693435.065,550418.645
697.5,666085.225,502889.86,668812.385,547830.465
705.0,642701.165,501409.98,641245.495,544687.6950000001
712.5,623059.81,502429.055,620422.88,544931.1799999999
720.0,650529.14,501864.665,663468.5549999999,543076.885
727.5,659644.12,501463.39,703495.225,541746.925
735.0,684087.635,501542.27,735489.9099999999,542154.0449999999
742.5,654612.2949999999,501172.19,822700.835,539594.86
750.0,606864.63,501398.3,916895.515,542516.5700000001
757.5,576564.835,501348.14,888341.2,543467.625
765.0,548888.495,501663.595,780819.38,536387.33
772.5,532120.63,500776.35,603953.685,534522.5549999999
780.0,523887.94499999995,500638.895,559887.875,533413.16
787.5,513221.305,501216.15,529834.61,535931.205
795.0,508022.78500000003,500459.53,511312.605,548117.49
802.5,505404.06,500630.27,510296.51,626140.09
810.0,502256.345,501475.415,506125.045,821078.86
817.5,502043.555,502363.355,507978.71499999997,1049869.605
825.0,500944.9,502490.425,507965.02,1193039.525
832.5,500617.25,502717.04,507000.14,1227417.545
840.0,500484.24,503855.69499999995,506818.095,1204821.96
847.5,500152.555,506825.98,506252.645,1084887.675
855.0,500064.5,509235.3,505046.52,938346.495
862.5,499999.865,508692.56,505285.665,793312.37
870.0,499565.935,506786.05,505201.51,704693.45
877.5,499739.805,507855.665,506084.905,664549.145
885.0,499826.595,509315.865,504959.08499999996,563412.89
892.5,499386.79,510946.56999999995,504786.81,545478.0800000001
900.0,499687.315,511013.78,505778.095,533699.515
907.5,499879.635,504696.86,505897.245,518741.685
915.0,499653.71499999997,502777.665,506266.61,518342.675
922.5,499847.555,501320.24,504792.95999999996,514441.8
930.0,499766.18,499349.70499999996,505792.08999999997,513257.935
937.5,499347.96499999997,500730.62,506407.44499999995,513408.395
945.0,499392.31999999995,500124.245,504987.905,514599.64
952.5,499842.265,500143.81,504959.135,513707.28
960.0,500063.82499999995,500306.65,506119.845,512865.57999999996
967.5,499887.925,500302.05,505234.92,512700.69999999995
975.0,499578.62,499836.095,505435.18,512761.51
982.5,499926.27,499747.735,505665.635,512972.94499999995
990.0,499521.01,500224.93,505662.97,511930.08499999996
997.5,499608.98,500123.885,505412.145,512283.685
1005.0,499320.87,499768.20999999996,505137.065,510948.995
1012.5,499447.05,500213.315,504655.69,510466.43
1020.0,499049.46499999997,499857.58499999996,504863.1,510574.175
1027.5,499397.255,499835.485,504795.255,510047.22
1035.0,499338.265,500390.82999999996,504499.565,511503.45499999996
1042.5,498974.995,499887.15,505044.915,511289.44999999995
1050.0,499524.01,500464.41000000003,504789.31,510383.82999999996
1057.5,499021.08999999997,500228.85,503951.52,509755.525
1065.0,498737.19,500097.14,503782.13,509926.06
