,00355.p,00355.p,00355.s,00355.s,00387.o,00387.o,00355.p
0,18903.857381,2015895.087427,15693.207041,2372394.567027,168.424252,0.000000,3316.320000
1,27308.037065,2194774.771024,23082.577263,2698471.273938,24.904478,0.000000,3020.160000
2,36869.761573,2327478.871774,32716.597939,2909720.233139,21.775982,0.000000,3300.960000
3,46520.412677,2344885.928393,42359.183103,2914651.124063,54.666359,0.000000,3778.560000
4,56742.589539,2239930.266445,53161.427341,2947738.863447,141.502717,0.000000,2500.000000
5,68626.395931,2201080.766028,64054.240180,2924853.871774,97.395034,0.000000,4542.720000
6,81723.314550,2086163.093256,78383.994503,2744448.272273,66.686371,0.000000,1049.760000
7,94406.331719,1971831.806828,94109.600235,2518950.874271,127.298703,0.000000,4515.840000
8,111075.007608,1899340.029142,112873.287026,2404307.660283,160.595007,0.000000,1883.840000
9,121087.219594,1882524.979184,130630.162832,2284658.617818,181.123478,0.000000,6480.000000
10,128273.399918,1811176.935887,146991.406773,2154148.313905,110.985012,0.000000,4766.560000
11,128297.772689,1725601.998335,150416.059534,1876196.502914,148.704205,0.000000,6881.280000
12,119339.769095,1670903.205662,138188.723422,1686204.517069,199.235826,0.000000,10802.880000
13,106058.791746,1606945.878435,127822.812959,1526815.154038,192.987980,0.000000,9617.920000
14,97097.477845,1559427.039967,116675.536500,1396484.700250,184.896884,0.000000,7252.000000
15,88498.742503,1576970.857619,99076.682924,1358452.955870,133.372743,0.000000,10575.360000
16,78413.599731,1546536.844296,85500.127838,1306733.867610,154.973776,0.000000,17523.200000
17,75307.341233,1521700.666112,77988.810289,1348564.945878,208.045013,0.000000,21024.640000
18,72882.790800,1564375.728560,70811.407135,1292248.438801,200.007659,0.000000,8517.600000
19,66201.545912,1615653.621982,62388.805227,1386344.712739,248.816091,0.000000,19968.000000
20,61712.549164,1488020.920067,53981.661705,1384095.649459,205.670054,0.000000,19903.040000
21,58028.710307,1559840.133222,45559.264476,1409474.188177,252.132114,0.000000,26812.800000
22,55277.084490,1534546.835970,38743.644035,1285139.675271,219.882073,0.000000,22779.680000
23,53815.810230,1528771.024147,36849.772813,1329287.260616,230.228065,0.000000,17656.320000
24,53828.405401,1475754.579517,34616.710145,1409364.592007,351.955849,0.000000,20736.000000
25,50776.750372,1550000.832639,33977.790216,1244757.701915,384.709011,0.000000,15912.320000
26,48855.860422,1502248.751041,32884.626555,1355334.616986,431.928039,0.000000,21559.840000
27,50084.922721,1530164.862614,32905.196191,1279813.488759,268.721378,0.000000,15482.880000
28,51221.647493,1421407.993339,34902.760603,1223490.424646,301.998243,0.000000,17287.200000
29,48405.363796,1491725.645296,34418.034613,1287989.175687,408.785627,0.000000,33600.000000
30,49242.667675,1517881.661116,32539.954523,1252313.280600,306.335373,0.000000,17478.720000
31,49779.683922,1466542.880933,30823.209256,1327233.971690,411.223476,0.000000,31150.080000
32,47264.120084,1441922.148210,31413.054327,1260366.257286,311.560968,0.000000,13033.760000
33,46226.992643,1412171.940050,31879.419840,1207311.407161,266.745486,0.000000,32659.200000
34,45848.452578,1498961.802664,30428.429825,1311945.774355,342.436575,0.000000,24200.000000
35,45146.216044,1445275.603664,29328.903973,1263147.377186,512.780691,0.000000,25589.760000
36,44339.593384,1469962.843464,29282.335572,1235620.940883,520.112532,0.000000,23392.800000
37,40954.611696,1493632.805995,28403.198344,1263600.749376,484.669961,0.000000,14532.480000
38,43660.693649,1366241.777685,28153.166759,1134730.641132,382.115652,0.000000,36759.360000
39,43893.628275,1372481.265612,26114.712349,1264571.190674,391.062054,0.000000,4608.000000
40,42760.748947,1355872.293922,27081.807666,1195537.781016,740.335355,0.000000,34530.880000
41,42512.753857,1465504.995837,26842.988814,1112631.557036,404.381033,0.000000,30752.000000
42,39397.659873,1479700.041632,26308.977570,1130223.147377,530.990232,0.000000,76839.840000
43,42419.338052,1446474.604496,27740.945046,1197082.431307,327.851790,0.000000,48496.640000
44,39846.936432,1559309.950042,26271.537381,1412877.289759,62.804337,0.000000,42588.000000
45,41107.331720,1460765.195670,26000.275243,1187381.765196,542.917625,0.000000,48787.200000
46,41459.041726,1353988.551207,26727.402534,1189996.149042,744.281423,0.000000,44530.880000
47,36741.739062,1256103.247294,25077.862767,1039533.721898,756.089896,0.000000,30333.440000
48,39686.726769,1257641.340550,25869.866339,958840.029142,865.595275,0.000000,56370.240000
49,39097.286482,1285179.017485,24036.594870,1046502.914238,672.352304,0.000000,18032.000000
50,38827.403352,1232442.651957,21655.961163,986898.522065,570.652157,0.000000,25809.920000
51,40035.533540,1247980.016653,23604.011631,1005182.348043,480.141874,0.000000,14100.480000
52,40546.006736,1222985.532889,23959.557933,1168075.978351,633.721776,0.000000,0.000000
53,41664.464793,1169520.399667,29203.947069,1031024.562864,576.064136,0.000000,43808.000000
54,40116.020285,1085423.605329,24428.514517,1080154.558701,379.484559,0.000000,27000.000000
55,34165.614348,1249823.480433,23400.110504,1087508.742714,746.320205,0.000000,81326.080000
56,32921.506451,1282929.954205,21091.187514,1188515.195670,1050.830622,0.000000,32253.760000
57,34276.095096,1390556.203164,18456.358898,1168295.170691,800.030634,0.000000,64247.040000
58,34425.563129,1373825.457952,20524.029760,1034753.642798,492.405443,0.000000,63907.840000
59,30838.559013,1390840.965862,20227.284555,1121065.778518,1112.354288,0.000000,52224.000000
60,34052.561967,1235309.013322,20931.184818,1216871.565362,1087.821433,0.000000,32542.560000
61,32822.634072,1272297.252290,20274.838615,1196715.237302,1076.404022,0.000000,43033.600000
62,28145.487307,1084114.071607,20165.812344,1058301.831807,1551.822278,0.000000,56214.240000
63,30990.062399,1216146.544546,20106.023301,1117004.163197,782.618082,0.000000,50803.200000
64,33657.235964,1258810.366361,20314.959066,1116686.615321,991.376612,0.000000,48552.000000
65,33743.441135,1101548.293089,22377.229384,1094620.316403,871.071287,0.000000,34317.440000
66,35804.993362,1169854.808493,22770.833342,1233665.070774,977.994743,0.000000,32698.080000
67,37031.298787,1211410.491257,19719.919273,1211410.491257,1053.736144,0.000000,47083.520000
68,35776.403524,1098123.646961,22317.229945,1209419.962531,1168.393938,0.000000,69704.800000
69,32583.702018,1168463.780183,23673.661841,1031890.091590,1296.679444,0.000000,99792.000000
70,32734.200305,1303171.523730,20651.805284,1132518.109908,1155.213317,0.000000,67572.960000
71,27215.138101,1125831.806828,19027.368957,1197187.343880,1142.029266,0.000000,117818.880000
72,29936.283947,1166642.797669,20857.490203,1126134.367194,1117.542149,0.000000,27676.800000
73,30310.739586,1175313.072440,23733.309095,1216697.335554,1000.254406,0.000000,25447.680000
74,28730.025597,1259629.995837,21134.731474,1403346.169858,660.460359,0.000000,69312.000000
75,30149.484804,1148163.197336,21929.772065,1113631.973356,1285.647377,0.000000,134184.960000
76,28801.254920,1189835.033306,25067.958149,1040003.955037,1344.847540,0.000000,103875.360000
77,28706.305740,1286464.196503,23226.410344,1169512.905912,1383.701042,0.000000,96808.320000
78,33654.666618,1211863.863447,20284.697495,1184321.502914,1524.154066,0.000000,100362.240000
79,32519.897156,1095961.698585,21085.334162,1189633.638634,1475.058626,0.000000,128000.000000
80,27353.012631,1031991.257286,20657.648345,1194434.325562,1399.727725,0.000000,65286.400000
81,31680.431001,1266931.723564,22591.490225,1247440.466278,904.135470,0.000000,34957.440000
82,32753.505278,1053391.548709,23788.749574,1122955.141549,1164.569077,0.000000,101846.400000
83,29904.913223,891577.019151,24710.511423,1023287.260616,1273.865203,0.000000,5191.680000
84,27419.367400,950114.487927,20510.947476,960441.819317,1676.678558,0.000000,63504.000000
85,32338.101326,1115647.793505,18179.743097,1157747.710241,1618.832248,0.000000,48539.520000
86,31393.251951,1126072.543714,22923.095983,1018827.539550,680.754421,0.000000,18318.400000
87,28034.950530,1027034.138218,23006.798127,1212774.354704,2013.928416,0.000000,80248.320000
88,28162.543101,968237.198168,18992.395202,1057270.503747,1915.542005,0.000000,24712.480000
