0,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000,-113400.000000
1,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000,-125023.500000
2,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000,-137214.000000
3,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000,-149971.500000
4,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000,-163296.000000
5,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000,-177187.500000
6,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000,-191646.000000
7,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000,-206671.500000
8,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000,-222264.000000
9,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000,-238423.500000
10,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000,-255150.000000
11,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000,-272443.500000
12,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000,-290304.000000
13,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000,-308731.500000
